阿布哈兹*	阿布哈兹共和国	Abkhazia
加蓬	加蓬共和国	Gabon
冈比亚	冈比亚共和国	Gambia, The
格鲁吉亚	格鲁吉亚	Georgia
德国	德意志联邦共和国	Germany
加纳	加纳共和国	Ghana
希腊	希腊共和国	Greece
格林纳达	格林纳达	Grenada
危地马拉	危地马拉共和国	Guatemala
几内亚	几内亚共和国	Guinea
几内亚比绍	几内亚比绍共和国	Guinea-Bissau
圭亚那	圭亚那合作共和国	Guyana
H编辑
国家或地区	中文全称	英文简称
海地	海地共和国	Haiti
洪都拉斯	洪都拉斯共和国	Honduras
匈牙利	匈牙利	Hungary
I编辑
国家或地区	中文全称	英文简称
冰岛	冰岛共和国	Iceland
印度	印度共和国	India
印度尼西亚	印度尼西亚共和国	Indonesia
伊朗	伊朗伊斯兰共和国	Iran
伊拉克	伊拉克共和国	Iraq
爱尔兰	爱尔兰	Ireland
以色列	以色列国	Israel
意大利	意大利共和国	Italy
J编辑
国家或地区	中文全称	英文简称
牙买加	牙买加	Jamaica
日本	日本国	Japan
约旦	约旦哈希姆王国	Jordan
K编辑
国家或地区	中文全称	英文简称
哈萨克斯坦	哈萨克斯坦共和国	Kazakhstan
肯尼亚	肯尼亚共和国	Kenya
基里巴斯	基里巴斯共和国	Kiribati
韩国	大韩民国	Korea, South
科索沃*	科索沃共和国	Kosovo
科威特	科威特国	Kuwait
吉尔吉斯斯坦	吉尔吉斯共和国	Kyrgyzstan
L编辑
国家或地区	中文全称	英文简称
老挝	老挝人民民主共和国	Laos
拉脱维亚	拉脱维亚共和国	Latvia
黎巴嫩	黎巴嫩共和国	Lebanon
莱索托	莱索托王国	Lesotho
利比里亚	利比里亚共和国	Liberia
利比亚	利比亚国	Libya
列支敦士登	列支敦士登公国	Liechtenstein
立陶宛	立陶宛共和国	Lithuania
卢森堡	卢森堡大公国	Luxembourg
M编辑
国家或地区	中文全称	英文简称
马其顿	马其顿共和国	Macedonia
马达加斯加	马达加斯加共和国	Madagascar
马拉维	马拉维共和国	Malawi
马来西亚	马来西亚	Malaysia
马尔代夫	马尔代夫共和国	Maldives
马里	马里共和国	Mali
马耳他	马耳他共和国	Malta
马绍尔群岛	马绍尔群岛共和国	Marshall Islands
毛里塔尼亚	毛里塔尼亚伊斯兰共和国	Mauritania
毛里求斯	毛里求斯共和国	Mauritius
墨西哥	墨西哥合众国	Mexico
密克罗尼西亚联邦	密克罗尼西亚联邦	Micronesia
摩尔多瓦	摩尔多瓦共和国	Moldova
摩纳哥	摩纳哥公国	Monaco
蒙古国	蒙古国	Mongolia
黑山	黑山共和国	Montenegro
摩洛哥	摩洛哥王国	Morocco
莫桑比克	莫桑比克共和国	Mozambique
缅甸	缅甸联邦共和国	Myanmar
N编辑
国家或地区	中文全称	英文简称
纳戈尔诺-卡拉巴赫*	纳戈尔诺-卡拉巴赫共和国	Nagorno-Karabakh
纳米比亚	纳米比亚共和国	Namibia
瑙鲁	瑙鲁共和国	Nauru
尼泊尔	尼泊尔联邦民主共和国	Nepal
荷兰	荷兰王国	Netherlands
新西兰	新西兰	New Zealand
尼加拉瓜	尼加拉瓜共和国	Nicaragua
尼日尔	尼日尔共和国	Niger
尼日利亚	尼日利亚联邦共和国	Nigeria
纽埃（新西兰）*	纽埃	Niue
北塞浦路斯*	北塞浦路斯土耳其共和国	Northern Cyprus
挪威	挪威王国	Norway
O编辑
国家或地区	中文全称	英文简称
阿曼	阿曼苏丹国	Oman
P编辑
国家或地区	中文全称	英文简称
巴基斯坦	巴基斯坦伊斯兰共和国	Pakistan
帕劳	帕劳共和国	Palau
巴勒斯坦*	巴勒斯坦国	Palestine
巴拿马	巴拿马共和国	Panama
巴布亚新几内亚	巴布亚新几内亚独立国	Papua New Guinea
巴拉圭	巴拉圭共和国	Paraguay
朝鲜	朝鲜民主主义人民共和国	People's Republic of Korea
秘鲁	秘鲁共和国	Peru
菲律宾	菲律宾共和国	Philippines
波兰	波兰共和国	Poland
葡萄牙	葡萄牙共和国	Portugal
德涅斯特河沿岸*	德涅斯特河沿岸摩尔达维亚共和国	Pridnestrovie
Q编辑
国家或地区	中文全称	英文简称
卡塔尔	卡塔尔国	Qatar
R编辑
国家或地区	中文全称	英文简称
罗马尼亚	罗马尼亚	Romania
俄罗斯	俄罗斯联邦	Russia
卢旺达	卢旺达共和国	Rwanda
S编辑
国家或地区	中文全称	英文简称
圣基茨和尼维斯	圣基茨和尼维斯联邦	Saint Christopher and Nevis
圣卢西亚	圣卢西亚	Saint Lucia
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯	Saint Vincent and the Grenadines
萨摩亚	萨摩亚独立国	Samoa
圣马力诺	圣马力诺共和国	San Marino
圣多美和普林西比	圣多美和普林西比民主共和国	S?o Tomé and Príncipe
沙特阿拉伯	沙特阿拉伯王国	Saudi Arabia
塞内加尔	塞内加尔共和国	Senegal
塞尔维亚	塞尔维亚共和国	Serbia
塞舌尔	塞舌尔共和国	Seychelles
塞拉利昂	塞拉利昂共和国	Sierra Leone
新加坡	新加坡共和国	Singapore
斯洛伐克	斯洛伐克共和国	Slovakia
斯洛文尼亚	斯洛文尼亚共和国	Slovenia
所罗门群岛	所罗门群岛	Solomon Islands
索马里	索马里联邦共和国	Somali
索马里兰*	索马里兰共和国	Somaliland
南非	南非共和国	South Africa
南奥塞梯*	南奥塞梯共和国	South Ossetia
南苏丹	南苏丹共和国	South Sudan
西班牙	西班牙王国	Spain
斯里兰卡	斯里兰卡民主社会主义共和国	Sri Lanka
苏丹	苏丹共和国	Sudan
苏里南	苏里南共和国	Suriname
斯威士兰	斯威士兰王国	Swaziland
瑞典	瑞典王国	Sweden
瑞士	瑞士联邦	Switzerland
叙利亚	阿拉伯叙利亚共和国	Syria
T编辑
国家或地区	中文全称	英文简称
塔吉克斯坦	塔吉克斯坦共和国	Tajikistan
坦桑尼亚	坦桑尼亚联合共和国	Tanzania
泰国	泰王国	Thailand
东帝汶	东帝汶民主共和国	Timor-Leste
多哥	多哥共和国	Togo
汤加	汤加王国	Tonga
特立尼达和多巴哥	特立尼达和多巴哥共和国	Trinidad and Tobago
突尼斯	突尼斯共和国	Tunisia
土耳其	土耳其共和国	Turkey
土库曼斯坦	土库曼斯坦	Turkmenistan
图瓦卢	图瓦卢	Tuvalu
U编辑
国家或地区	中文全称	英文简称
乌干达	乌干达共和国	Uganda
乌克兰	乌克兰	Ukraine
阿联酋	阿拉伯联合酋长国	United Arab Emirates
英国	大不列颠及北爱尔兰联合王国	United Kingdom
美国	美利坚合众国	United States
乌拉圭	乌拉圭东岸共和国	Uruguay
乌兹别克斯坦	乌兹别克斯坦共和国	Uzbekistan
V编辑
国家或地区	中文全称	英文简称
瓦努阿图	瓦努阿图共和国	Vanuatu
梵蒂冈	梵蒂冈城国	The Holy See（Vatican City）
委内瑞拉	委内瑞拉玻利瓦尔共和国	Venezuela
越南	越南社会主义共和国	Vietnam
W编辑
国家或地区	中文全称	英文简称
西撒哈拉*	阿拉伯撒哈拉民主共和国	Western Sahara
Y编辑
国家或地区	中文全称	英文简称
也门	也门共和国	Yemen
Z编辑
国家或地区	中文全称	英文简称
赞比亚	赞比亚共和国	Zambia
津巴布韦	津巴布韦共和国	Zimbabwe
海外属地与其他特殊政区编辑
海外省

海外省
　　	中文名称	英文名称
法属圭亚那（法国）	法属圭亚那	Guyane fran?aise
留尼旺（法国）	留尼旺	Réunion
海外属地

海外属地与其他特殊政区	中文全称	英文简称
美属萨摩亚（美国）	美属萨摩亚	American Samoa
安圭拉（英国）	安圭拉	Anguilla
阿鲁巴（荷兰）	阿鲁巴	Aruba
百慕大（英国）	百慕大	Bermuda
英属印度洋领地（英国）	英属印度洋领地	British Indian Ocean Territory
开曼群岛（英国）	开曼群岛	Cayman Islands
圣诞岛（澳大利亚）	圣诞岛	Christmas lsland
科科斯群岛（澳大利亚）	科科斯（基林）群岛	Cocos (Keeling) Islands
库拉索（荷兰）	库拉索	Cura?ao
福克兰群岛（英国、阿根廷争议）	福克兰群岛（马尔维纳斯群岛）	Falkland Islands (Islas Malvinas)
法罗群岛（丹麦）	法罗群岛	Faroe Islands
法属波利尼西亚（法国）	法属波利尼西亚	French Polynesia
直布罗陀（英国）	直布罗陀	Gibraltar
格陵兰（丹麦）	格陵兰	Greenland
关岛（美国）	关岛	Guam
根西岛（英国）	根西	Guernsey
泽西岛（英国）	泽西	Jersey
马恩岛（英国）	马恩岛	Isle of Man
马约特（法国）	马约特	Mayotte
蒙特塞拉特岛（英国）	蒙特塞拉特	Montserrat
新喀里多尼亚（法国）	新喀里多尼亚	New Caledonia
诺福克岛（澳大利亚）	诺福克岛	Norfolk Island
北马里亚纳群岛（美国）	北马里亚纳群岛	Northern Mariana Islands
皮特凯恩群岛（英国）	皮特凯恩群岛	Pitcairn Islands
波多黎各（美国）	波多黎各	Puerto Rico
圣赫勒拿（英国）	圣赫勒拿	Saint Helena
圣皮埃尔和密克隆群岛（法国）	圣皮埃尔和密克隆	Saint Pierre and Miquelon
荷属圣马丁（荷兰）	圣马丁	Sint Maarten
斯瓦尔巴特群岛（挪威）	斯瓦尔巴群岛	Svalbard
托克劳（新西兰）	托克劳	Tokelau
特克斯与凯科斯群岛（英国）	特克斯和凯科斯群岛	Turks and Caicos Islands
英属维尔京群岛（英国）	英属维尔京群岛	Virgin Islands, British
美属维尔京群岛（美国）	美属维尔京群岛	Virgin Islands, United States
瓦利斯和富图纳（法国）	瓦利斯和富图纳	Wallis and Futuna
