402306	JS INNOVATION CB IPAK YULI	DEBIT CLASSIC	UZBEKISTAN	(+998 71) 120-38-88OR 116-19-91OR 120-85-52
403262	UZPROMSTROYBANK UZBEK JSC INDUSTRIAL AND CONSTRUCTION BANK	DEBIT PREMIER	UZBEKISTAN	
403484	HIGHLAND BANK	DEBIT CLASSIC	UZBEKISTAN	952-921-2275
408416		DEBIT CLASSIC	UZBEKISTAN	
408417		DEBIT ELECTRON	UZBEKISTAN	
409662		CREDIT	UZBEKISTAN	
409782	UZPROMSTROYBANK UZBEK JSC INDUSTRIAL AND CONSTRUCTION BANK	DEBIT CLASSIC	UZBEKISTAN	
409783	UZPROMSTROYBANK UZBEK JSC INDUSTRIAL AND CONSTRUCTION BANK	DEBIT ELECTRON	UZBEKISTAN	
409784	UZPROMSTROYBANK UZBEK JSC INDUSTRIAL ANDCONSTRUCTION BANK	CREDIT	UZBEKISTAN	
410659	UZKDB BANK	DEBIT ELECTRON	UZBEKISTAN	
414565		CREDIT	UZBEKISTAN	
415252		DEBIT ELECTRON	UZBEKISTAN	
416672	PRIVATE JS EXCHANGE BANK TRUSTBANK	DEBIT CLASSIC	UZBEKISTAN	
416673		DEBIT PREMIER	UZBEKISTAN	
416674		DEBIT ELECTRON	UZBEKISTAN	
416675		DEBIT BUSINESS	UZBEKISTAN	
416967	UZKDB BANK	DEBIT CLASSIC	UZBEKISTAN	
417440	UZPROMSTROYBANK UZBEK JSC INDUSTRIAL AND CONSTRUCTION BANK	DEBIT BUSINESS	UZBEKISTAN	
418009	UZKDB BANK	DEBIT PREMIER	UZBEKISTAN	
418689		DEBIT CLASSIC	UZBEKISTAN	
418780	OPEN-END JSC AGROBANK	DEBIT CLASSIC	UZBEKISTAN	(562) 333-444
418781	OPEN-END JSC AGROBANK	DEBIT PREMIER	UZBEKISTAN	(562) 333-444
418782	OPEN-END JSC AGROBANK	DEBIT ELECTRON	UZBEKISTAN	(562) 333-444
423120		DEBIT CLASSIC	UZBEKISTAN	
424232		DEBIT ELECTRON	UZBEKISTAN	
424233		CREDIT CLASSIC	UZBEKISTAN	
427831	JSCB KAPITALBANK	DEBIT CLASSIC	UZBEKISTAN	
427832	JSCB KAPITALBANK	DEBIT PREMIER	UZBEKISTAN	
427833	JSCB KAPITALBANK	DEBIT ELECTRON	UZBEKISTAN	
427834	JSCB KAPITALBANK	DEBIT BUSINESS	UZBEKISTAN	
429558	UZDAEWOO BANK	CREDIT	UZBEKISTAN	
446904		CREDIT CLASSIC	UZBEKISTAN	
446905		CREDIT GOLD	UZBEKISTAN	
446906		CREDIT BUSINESS	UZBEKISTAN	
447848		DEBIT CLASSIC	UZBEKISTAN	
447849		DEBIT PREMIER	UZBEKISTAN	
447850		DEBIT ELECTRON	UZBEKISTAN	
447851		DEBIT BUSINESS	UZBEKISTAN	
458812		DEBIT CLASSIC	UZBEKISTAN	
468597		CREDIT CLASSIC	UZBEKISTAN	
468598		CREDIT GOLD	UZBEKISTAN	
473872		CREDIT	UZBEKISTAN	
473873		CREDIT	UZBEKISTAN	
473874		CREDIT	UZBEKISTAN	
479046	UZKDB BANK	DEBIT BUSINESS	UZBEKISTAN	
479047	UZKDB BANK	DEBIT CLASSIC	UZBEKISTAN	
479048	UZKDB BANK	CREDIT PREMIER	UZBEKISTAN	
479049	UZKDB BANK	DEBIT PREMIER	UZBEKISTAN	
479074	UZKDB BANK	CREDIT	UZBEKISTAN	
479091	NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REPUBLIC OF UZBEKISTAN	DEBIT ELECTRON	UZBEKISTAN	(998 71) 233-6070
479092	NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REPUBLIC OF UZBEKISTAN	CREDIT	UZBEKISTAN	(998 71) 233-6070
484149		CREDIT	UZBEKISTAN	
484799		DEBIT CLASSIC	UZBEKISTAN	
485469		CREDIT GOLD	UZBEKISTAN	
485470		CREDIT PLATINUM	UZBEKISTAN	
491664	NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REPUBLIC OF UZBEKISTAN	DEBIT CLASSIC	UZBEKISTAN	(998 71) 233-6070
491699	NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REPUBLIC OF UZBEKISTAN	CREDIT	UZBEKISTAN	(998 71) 233-6070
518969	JSCB ASAKA	CREDIT STANDARD	UZBEKISTAN	8 (800) 333-98-98
519746		CREDIT BUSINESS	UZBEKISTAN	
527685	PJSC ORIENT FINANS	CREDIT GOLD	UZBEKISTAN	
531951	PJSC ORIENT FINANS	CREDIT STANDARD	UZBEKISTAN	
547687	JSCB ASAKA	CREDIT BUSINESS	UZBEKISTAN	8 (800) 333-98-98
554269	ROYAL BANK OF SCOTLAND NB UZBEKISTAN CJSC	CREDIT STANDARD	UZBEKISTAN	(+998 71) 1206141
554270	ROYAL BANK OF SCOTLAND NB UZBEKISTAN CJSC	CREDIT GOLD	UZBEKISTAN	(+998 71) 1206141
558616	ROYAL BANK OF SCOTLAND NB UZBEKISTAN CJSC	CREDIT BUSINESS	UZBEKISTAN	(+998 71) 1206141
